# combo	name	tpass_count	has_summary	summary_pass	summary_failed	summary_broken	summary_skipped	summary_warnings	summary_total	status	end_code
loongarch-musl	abort01	2	1	2	0	0	0	0	2	PASS	0
loongarch-musl	abs01	0	0	0	0	0	0	0	0	NO_SUMMARY	0
loongarch-musl	accept01	4	1	4	1	0	0	0	5	FAIL	1
loongarch-musl	accept02	0	1	0	0	1	0	0	1	FAIL	2
loongarch-musl	accept03	15	1	15	0	0	8	0	23	PASS	0
loongarch-musl	accept4_01	8	1	8	0	0	1	0	9	PASS	0
loongarch-musl	access01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	access02	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	access03	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	access04	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	acct01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	acct02	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	acct02_helper	0	0	0	0	0	0	0	0	FAIL	128
loongarch-musl	acl1	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	add_ipv6addr	0	0	0	0	0	0	0	0	FAIL	1
loongarch-musl	add_key01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	add_key02	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	add_key03	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	add_key04	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	add_key05	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	adjtimex01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	adjtimex02	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	adjtimex03	1	1	1	0	0	0	0	1	PASS	0
loongarch-musl	af_alg01	12	1	12	0	0	2	0	14	PASS	0
loongarch-musl	af_alg02	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	af_alg03	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	af_alg04	0	1	0	0	0	6	0	6	FAIL	32
loongarch-musl	af_alg05	1	1	1	0	0	0	0	1	PASS	0
loongarch-musl	af_alg06	1	1	1	0	0	0	0	1	PASS	0
loongarch-musl	af_alg07	1	1	1	0	1	0	0	2	TIMEOUT	124
loongarch-musl	aio-stress	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	aio01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	aio02	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	aiocp	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	aiodio_append	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	aiodio_sparse	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	alarm02	6	1	6	0	0	0	0	6	PASS	0
loongarch-musl	alarm03	2	1	2	0	0	0	0	2	PASS	0
loongarch-musl	alarm05	3	1	3	0	0	0	0	3	PASS	0
loongarch-musl	alarm06	2	1	2	0	0	0	0	2	PASS	0
loongarch-musl	alarm07	2	1	2	0	0	0	0	2	PASS	0
loongarch-musl	arch_prctl01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	asapi_01	0	0	0	0	0	0	0	0	TIMEOUT	124
loongarch-musl	asapi_02	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	asapi_03	0	0	0	0	0	0	0	0	FAIL	2
loongarch-musl	aslr01	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	atof01	0	0	0	0	0	0	0	0	NO_SUMMARY	0
loongarch-musl	autogroup01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	bind01	7	1	7	0	0	0	0	7	PASS	0
loongarch-musl	bind02	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	bind03	3	1	3	0	0	0	0	3	PASS	0
loongarch-musl	bind04	1	1	1	0	1	0	0	2	TIMEOUT	124
loongarch-musl	bind05	1	1	1	0	1	0	0	2	TIMEOUT	124
loongarch-musl	bind06	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	block_dev	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	bpf_map01	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	bpf_prog01	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	bpf_prog02	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	bpf_prog03	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	bpf_prog04	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	bpf_prog05	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	bpf_prog06	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	bpf_prog07	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	brk01	1	1	1	0	0	1	0	2	PASS	0
loongarch-musl	brk02	1	1	1	0	0	1	0	2	PASS	0
loongarch-musl	cacheflush01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	can_bcm01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	can_filter	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	can_rcv_own_msgs	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	cap_bounds_r	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	cap_bounds_rw	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	cap_bset_inh_bounds	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	capget01	6	1	6	0	0	0	0	6	PASS	0
loongarch-musl	capget02	5	1	5	0	0	0	0	5	PASS	0
loongarch-musl	capset01	3	1	3	0	0	0	0	3	PASS	0
loongarch-musl	capset02	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	capset03	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	capset04	1	1	1	0	0	0	0	1	PASS	0
loongarch-musl	cfs_bandwidth01	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	cgroup_core01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	cgroup_core02	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	cgroup_core03	0	1	0	0	0	1	0	1	FAIL	32
loongarch-musl	cgroup_fj_proc	0	0	0	0	0	0	0	0	TIMEOUT	124
loongarch-musl	cgroup_regression_fork_processes	0	0	0	0	0	0	0	0	TIMEOUT	124
loongarch-musl	cgroup_regression_getdelays	0	0	0	0	0	0	0	0	FAIL	1
loongarch-musl	cgroup_xattr	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	chdir01	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	chdir04	3	1	3	0	0	0	0	3	PASS	0
loongarch-musl	check_envval	0	0	0	0	0	0	0	0	FAIL	1
loongarch-musl	check_icmpv4_connectivity	0	0	0	0	0	0	0	0	FAIL	1
loongarch-musl	check_icmpv6_connectivity	0	0	0	0	0	0	0	0	FAIL	1
loongarch-musl	check_keepcaps	0	0	0	0	0	0	0	0	FAIL	32
loongarch-musl	check_netem	0	0	0	0	0	0	0	0	FAIL	1
loongarch-musl	check_pe	0	0	0	0	0	0	0	0	FAIL	32
